Name,Geburtsjahr,Todesjahr,Konfession,Biographie,Vorkommen,Varianten,Autor von,Anfangsjahr,Schlussjahr,Ist Mitglied von,Kategorien,Kommentar,Urheber von,Mitglieder,Dargestellt in,Literatur,Externe Ressourcen
"Salomo, König (Israel)",,,andere,,,,,,,,,,,,,", S. 1138–1141",Sandrart.net:
Giovanni Battista Salvago,1560,1632,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Maria Salvatorin,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Samson, biblische Person",,,andere,,,,,,,,,,,,,,Sandrart.net:
"Samuel, Prophet",,,andere,,,,,,,,,,,,,", S. 1517–1519",Sandrart.net:
Guillén de San Clemente y Centelles,1539,1608,katholisch,,,,,,,,,,,,,", S. 56–59",Gemeinsame Normdatei (GND):
James Sandilands,,1638,protestantisch,,,,,,,,,,,,,",",
Gertraut Sanft,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hermannus Sangallensis,ca. 1034,ca. 1076,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Sara, biblische Person",,,andere,,,,,,,,,,,,,", S. 1523",Gemeinsame Normdatei (GND):
Johann Bernhard Sattler,1563,1620,protestantisch,,,,,,,,,,,,,", S. 118",
"Saul, König (Israel)",,,andere,,,,,,,,,,,,,", S. 1529",Sandrart.net:
Johann Sausenthaler,,,katholisch,,,,,,,,,,,,,,
Roelant Savery,1576,1639,protestantisch,,,,,,,,,,,,,", S. 228–248",Sandrart.net:
Johannes Sayller,1597,1668,keine Angabe,,,,,,,,,,,,,", S. 537–538",Gemeinsame Normdatei (GND):
Georg zu Sayn-Wittgenstein-Berleburg,1565,1631,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Wilhelm zu Sayn-Wittgenstein-Sayn,1569,1623,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ludwig zu Sayn-Wittgenstein-Wittgenstein,1571,1634,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Bernhard zu Sayn-Wittgenstein,1587,1616,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Cangrande della Scala,1332,1359,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Scaldis, Gott",,,keine Angabe,,,,,,,,,,,,,", S. 186–194",Gemeinsame Normdatei (GND):
Bartholomäus Schachmann,1559,1614,protestantisch,,,,,,,,,,,,,", S. 240, 385 (Abb.)",Gemeinsame Normdatei (GND):
Schad (Patrizierfamilie),,,,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht Schad,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth Schad,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Schad,1575,1634,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Jakob Schad,ca. 1400,1466,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Schadrach, biblische Person",,,andere,,,"Sadrach, biblische Person",,,,,,,,,,,Gemeinsame Normdatei (GND):
Schaffalitzky von Muckadell (Adelsfamilie),,,,,,,,,,,,,,,,", S. XLIV–XLV",
Sebastian Schaffalitzky von Muckadell,1551,1624,protestantisch,,,,,,,,,,,,,", S. XLIV–XLV",Gemeinsame Normdatei (GND):
Francisco Schaldio,,,keine Angabe,,,,,,,,,,,,,,
Scham,,,keine Angabe,,,,,,,,,,,,,,
Elias Schamroth,1575,1617,protestantisch,,,,,,,,,,,,,",  S. 330, 341, 350",
Anna Scharfzahn,1412,1486,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Schaudich,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Imagina von Schaumberg,ca. 1336,1377,katholisch,,,,,,,,,,,,,,
Sebastian Schedel,ca. 1570,1628,keine Angabe,,,,,,,,,,,,,", S. 83",Gemeinsame Normdatei (GND):
Reinhard Scheffer,1561,1623,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Schell,1574,1627,protestantisch,,,,,,,,,,,,,", S. 41, 89",Gemeinsame Normdatei (GND):
Gabriel Schellenberger,,,katholisch,,,,,,,,,,,,,", S. 389",Gemeinsame Normdatei (GND):
"Schemel, ?",ca. 1530,ca. 1610,katholisch,,,,,,,,,,,,,", S. 671",Gemeinsame Normdatei (GND):
Karl Schenck von Winterstädt,,,keine Angabe,,,,,,,,,,,,,,
Lambert Thomas Schenckel,1547,ca. 1624,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Agnes Schenk,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht Schenk von Limpurg,1561,1619,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Eberhard Schenk von Limpurg-Speckfeld,1560,1622,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Erasmus Schenk von Limpurg,1576,1653,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Heinrich Schenk von Limpurg,1573,1637,protestantisch,,,,,,,,,,,,,", S. 36, 75",Gemeinsame Normdatei (GND):
Philipp Ludwig Schenk von Limpurg,1588,1627,protestantisch,,,,,,,,,,,,,", S. 482",
Wilhelm Schenk von Limpurg,1568,1633,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Melchior Schenk von Winterstetten,,,protestantisch,,,,,,,,,,,,,", S. 34, 36",Gemeinsame Normdatei (GND):
Anna Schermar,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Scheurl (Familie),,,,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Scheurlin,,,keine Angabe,,,Scheurl,,,,,,,,,,,
Berchtold von Scheyern,,,katholisch,,,,,,,,,,,,,", S. 30/31",
Haziga von Scheyern,,zwischen 1103 und 1104,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Heinrich von Scheyern,,,katholisch,,,,,,,,,,,,,,
Iustitia von Scheyern,,,katholisch,,,,,,,,,,,,,", S. 31",
Petrissa von Scheyern,,,katholisch,,,,,,,,,,,,,,
Tuta von Scheyern,,,katholisch,,,,,,,,,,,,,", S. 114",
Werner von Scheyern,,,katholisch,,,,,,,,,,,,,,
Schierlin,,,keine Angabe,,,,,,,,,,,,,,
Jonas Schiessel,,1644,katholisch,,,Jonas Schüeßel,,,,,,,,,,", S. 212–213",Gemeinsame Normdatei (GND):
Daniel Schilling von Günzburg,1572,1625,katholisch,,,,,,,,,,,,,", S. 563",Gemeinsame Normdatei (GND):
Regina Schiller von Herdern,,1619,katholisch,,,,,,,,,,,,,", S. 360",
Heinrich Schilling von Canstatt,,1635,protestantisch,,,,,,,,,,,,,", S. 52",
Berthold Schilling von Canstatt,1584,1637,keine Angabe,,,,,,,,,,,,,,
Johann Balthasar Schlegel,,,katholisch,,,,,,,,,,,,,", S. 268",Gemeinsame Normdatei (GND):
Barbara Schleicher,1440,1505,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Franz Schleicher,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Franz Schleicher,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Franz Schleicher,ca. 1418,,christlich allgemein,,,,,,,,,,,,,,
Hieronymus Schleicher,1568,1631,protestantisch,,,,,,,,,,,,,",",
Sigmund Schleicher,1560,1631,protestantisch,,,,,,,,,,,,,",",
Beatrix von Schlesien-Schweidnitz,ca. 1290,1322,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Schleswig-Holstein-Sonderburg,1580,1653,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sophie Schleswig-Holstein-Gottorf,1569,1634,protestantisch,,,,,,,,,,,,,", S. 203–226",Gemeinsame Normdatei (GND):
Christoph Schlichtinger,,1592,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Ernst von Schlieben,1586,1620,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Friedrich Schlöer,1569,1637,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Martinus Schmauser,,1627,katholisch,,,,,,,,,,,,,", S. 14–15",Gemeinsame Normdatei (GND):
Ludwig Schmidt,,,keine Angabe,,,,,,,,,,,,,,
Stefan Schmidt von Freihofen,ca. 1556,1631,keine Angabe,,,,,,,,,,,,,", S. 59–61",
Antonius Schmittmer,,,keine Angabe,,,,,,,,,,,,,,
Johann Schneidt,,,keine Angabe,,,,,,,,,,,,,,
Peter Schneidt,1561,1616,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Caspar von Schnetter,,1644,katholisch,,,,,,,,,,,,,", S. 307, Nr. 2848",
Thomas Schober,1518,1572,katholisch,,,,,,,,,,,,,", S. 75, 77",Gemeinsame Normdatei (GND):
Gebhard Schöllhammer,,1634,katholisch,,,,,,,,,,,,,", hier S. 275",Gemeinsame Normdatei (GND):
Georg Schön,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Meinhard von Schönberg,1582,1616,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Heinrich Dietrich von Schönberg,1597,1621,protestantisch,,,,,,,,,,,,,,
Johann Schönbrunner,ca. 1544,zwischen 1615 und 1618,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Otto Wilhelm von Schönburg-Glauchau,1587,1617,protestantisch,,,,,,,,,,,,,", S. 143–144",Gemeinsame Normdatei (GND):
Hugo II. von Schönburg-Glauchau-Waldenburg,1559,1606,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"von Schönburg-Glauchau-Waldenburg, Hugo II., 1613 lebende
               Söhne",,,,,,,,,,,,,,,,,
Veit III. von Schönburg-Lichtenstein,1563,1622,protestantisch,,,,,,,,,,,,,", S. 144",Gemeinsame Normdatei (GND):
Wolf Ernst von Schönburg-Remissau,1582,1623,protestantisch,,,,,,,,,,,,,", S. 143–144",Gemeinsame Normdatei (GND):
Hugo III. von Schönburg-Waldenburg,1581,1641,protestantisch,,,,,,,,,,,,,", S. 144–145",Gemeinsame Normdatei (GND):
"von Schönburg, Wolf Ernst und Otto Wilhelm, jüngere Brüder im Jahr
               1613",,,protestantisch,,,,,,,,,,,,,,
Johann von Schönstein,ca. 1586,1634,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Veit Adam von Schönstein,,1631,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hans Konrad Schott,1556,1623,keine Angabe,,,,,,,,,,,,,",",
Konrad Schott,ca. 1561,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Magdalena Schraier,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Ulrich Schraier,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
David Schramm,1559,1615,protestantisch,,,,,,,,,,,,,", S. 113",Gemeinsame Normdatei (GND):
Erhart Schreiber,,,keine Angabe,,,,,,,,,,,,,", S. 481",Gemeinsame Normdatei (GND):
Christoph Schrenck von Notzing und Egmating,1548,1625,katholisch,,,,,,,,,,,,,", S. 271",Gemeinsame Normdatei (GND):
Friedrich Schrenck von Notzing,1555,1618,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth Schröter,,ca. 1430,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Matthias Schropp,,,katholisch,,,,,,,,,,,,,,
Andreas Schrot,,,keine Angabe,,,,,,,,,,,,,,
Johannes Schube,,1634,protestantisch,,,,,,,,,,,,,,
Anna Schürstab,,1440,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jutta Schütz,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Lukas Schultes,zwischen ca. 1593 und 1594,1634,keine Angabe,,,,,,,,,,,,,", S. 162–163",Gemeinsame Normdatei (GND):
Johann Konrad Schutzbar,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Kunigunde von Schwaben,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Bartholomäus Schwarzlos,1556,1618,protestantisch,,,,,,,,,,,,,", Bd. 1, S. 154",
Christoph Schwarz,zwischen 1545 und 1548,1592,katholisch,,,,,,,,,,,,,", S. 709",Sandrart.net:
Matthäus Schwarz d. Ä.,,,protestantisch,,,,,,,,,,,,,,
Matthäus Ulrich Schwarz,1539,1570,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Otto Heinrich von Schwarzenberg,1535,1590,katholisch,,,,,,,,,,,,,", Bd. 1, S. 162–167",Sandrart.net:
"Gustav I. Wasa, König (Schweden)",1496,1560,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Schweden,1549,1597,protestantisch,,,,,,,,,,,,,", S. 240/241",Gemeinsame Normdatei (GND):
Eufemia von Schweden,1317,ca. 1370,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Richardis von Schweden,,1377,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johannes Schwegler,,,protestantisch,,,,,,,,,,,,,", Bd. 16, S. 129",Gemeinsame Normdatei (GND):
Thomas Schweicker,1541,1602,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jutta von Schweidnitz,1285,1320,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Benedikt Schweindl,,,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Marquard von Schwendi,1574,1634,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Heinrich Schwichelt,1577,1653,keine Angabe,,,,,,,,,,,,,", S. 151, 182, 290, 314",
Publius Cornelius Scipio Africanus,ca. 236 v. Chr.,183 v. Chr.,andere,,,,,,,,,,,,,,Sandrart.net:
Abraham Scultetus,1566,1624,protestantisch,,,,,,,,,,,,,", S. XLV–XLVI",Sandrart.net:
"Sebastian, Heiliger",,ca. 288,christlich allgemein,,,,,,,,,,,,,", S. 283",Gemeinsame Normdatei (GND):
N. (?) von Seckendorff,,,keine Angabe,,,,,,,,,,,,,,
Valentin Bernhard von Seckendorff,ca. 1590,1659,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anna Segesser von Brunegg,,,katholisch,,,,,,,,,,,,,,
Martin Segmel,1585,1645,katholisch,,,,,,,,,,,,,", S. 246",
Mathias Seidel,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Konrad Wilhelm von Selbach,,,keine Angabe,,,,,,,,,,,,,,
Valentin von Selbitz,1558,1630,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Sem, biblische Person",,,andere,,,,,,,,,,,,,", S. 1574",Sandrart.net:
Johann Dietrich Semler,1587,1629,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Lucius Annaeus Seneca,ca. 4,65,andere,,,,,,,,,,,,,,Sandrart.net:
Johann Andreas Senger,,1622,protestantisch,,,,,,,,,,,,,", S. 12–13",
"Sicamber, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,,
Die sieben Tugenden,,,,,,,,,,,,,,,,,
Casparus Siemer,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Melchior Sigelmann von Delsberg,,1617,protestantisch,,,,,,,,,,,,,",",
"Sigismund, Kaiser (HRR)",1368,1437,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Sigismund August II., König (Polen)",1520,1572,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Sigismund August, Herzog (Mecklenburg)",1560,1600,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Nicolaus Sigmar von Schlüsselberg,,zwischen ca. 1626 und 1627,keine Angabe,,,,,,,,,,,,,",",
"Sigmund, Herzog (Bayern-München)",1439,1501,katholisch,,,,,,,,,,,,,", S. 728",Gemeinsame Normdatei (GND):
"Simeon, Prophet",,,andere,,,,,,,,,,,,,", S. 1591",Sandrart.net:
"Simon VI., Graf (Lippe)",1554,1613,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Simon der Pharisäer, biblische Person",,,andere,,,,,,,,,,,,,,Biographisch-Bibliographisches Kirchenlexikon (BBKL):
"Simon Zelotes, Apostel",,,christlich allgemein,,,,,,,,,,,,,", S. 306",Gemeinsame Normdatei (GND):
"Sirenen, mythologische Personen",,,,,,,,,,,,,,,,,Sandrart.net:
Eleazar Sitzinger,,,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ulrich Sitzinger,1525,1574,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Sizilien,ca. 1309,1349,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht Jan Smiřický von Smiřice,1594,1618,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Smisek,ca. 1585,ca. 1650,katholisch,,,Johann Schmischek,,,,,,,,,,", S. 24",Union List of Artist Names (ULAN):
Franz Soll,,1625,katholisch,,,,,,,,,,,,,,
Kaspar Solling,,,keine Angabe,,,,,,,,,,,,,", S. 192",Gemeinsame Normdatei (GND):
Philipp zu Solms-Braunfels,1573,1630,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Reinhard zu Solms-Braunfels,1573,1630,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Wilhelm I. zu Solms-Greifenstein,1570,1635,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Hermann Adolf zu Solms-Hohensolms,1601,1626,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Ernst zu Solms-Hohensolms,1591,1617,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Philipp Reinhard I. zu Solms-Hohensolms,1593,1635,protestantisch,,,,,,,,,,,,,", Personenregister, s. v. „Solms-Hohensolms, Philipp Reinhard
                     I., Graf zu“",Gemeinsame Normdatei (GND):
Agathe zu Solms-Laubach,1585,1648,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht Otto II. zu Solms-Laubach,1610,1639,keine Angabe,,,,,,,,,,,,,,
Sophie zu Solms-Laubach,1594,1651,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Heinrich Wilhelm zu Solms-Sonnewalde,1583,1632,protestantisch,,,,,,,,,,,,,", Personenregister, s. v. „Solms-Sonnewalde, Heinrich Wilhelm,
                     Graf zu“",Gemeinsame Normdatei (GND):
Anna-Maria von Solms,1593,1649,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Georg II. zu Solms-Baruth,1591,1632,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Graf von Solms,,,keine Angabe,,,,,,,,,,,,,", S. 230, Anm. 39",
Konrad Ludwig zu Solms-Braunfels,1595,1635,protestantisch,,,,,,,,,,,,,,
Friedrich zu Solms-Rödelheim,1574,1635,protestantisch,,,,,,,,,,,,,", S. 1095",Gemeinsame Normdatei (GND):
Solon,ca. 640 v. Chr.,ca. 562 v. Chr.,andere,,,,,,,,,,,,,,Sandrart.net:
"Sophrodot, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,,
Sophrosyne (Personifikation),,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Katharina von Spaur,1580,1650,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Gotthard Spengler,,,keine Angabe,,,,,,,,,,,,,,
Johann Ludwig von Sperberseck,,,protestantisch,,,,,,,,,,,,,",",
Susanna Spet,,,christlich allgemein,,,,,,,,,,,,,,
Johann Philipp Speth von Zwiefalten,,,katholisch,,,,,,,,,,,,,",",
Otto Spiegel zu Badrina,,,protestantisch,,,,,,,,,,,,,,
Hans Jakob Spiegler,zwischen 1570 und 1580,ca. 1658,protestantisch,,,,,,,,,,,,,", Bd. 17, S. 142",Union List of Artist Names (ULAN):
Ambrogio Spinola,1569,1630,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Philipp Springer,,,katholisch,,,,,,,,,,,,,", S. 58",Gemeinsame Normdatei (GND):
Johann Burckhard Stadtmann,1570,1638,keine Angabe,,,,,,,,,,,,,", Bd. 1, S. 217–218",Gemeinsame Normdatei (GND):
Andreas Stahl,zwischen 1560 und 1561,zwischen 1634 und 1635,keine Angabe,,,,,,,,,,,,,", S. 593",
Stahn,,,keine Angabe,,,,,,,,,,,,,,
Barbara Staiger,ca. 1418,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Staiger,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Staiger,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
David vom Stain,,1656,protestantisch,,,,,,,,,,,,,",",
Eitel Heinrich vom Stain,,1624,keine Angabe,,,,,,,,,,,,,",",
Johann Jakob von Stainach,,,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Ursula Stainbrech,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Stainger,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Theodosius Stann,,1630,keine Angabe,,,,,,,,,,,,,",",
"Starchand, Bischof (Eichstätt)",,966,katholisch,,,,,,,,,,,,,", S. 44–45",Gemeinsame Normdatei (GND):
Jakob Stark von und zu Röckenhof,1550,1617,keine Angabe,,,,,,,,,,,,,", Bd. 2, S. 935–937",
Hans Starnberger,,zwischen 1587 und 1594,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Heinrich von Starschedel,,,keine Angabe,,,,,,,,,,,,,", S. 37",
Otto von Starschedel,,1623,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Staudt,1567,1634,protestantisch,,,,,,,,,,,,,,
Maria von Staufen,zwischen 1196 und 1201,ca. 1235,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anna Stebenhaber,ca. 1415,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Eglof Stebenhaber,ca. 1473,1516,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Stebenhaber,ca. 1400,1462,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Stebenhaber,ca. 1500,1565,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Stebenhaber,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Magdalena Stebenhaber,1540,1602,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Paulus Stebenhaber,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Margret Steidl,,,christlich allgemein,,,,,,,,,,,,,,
Margret Steidl,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Pauls Steidl,,,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht von Steinau-Steinrück,,,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Karl von Stentzsch,,,protestantisch,,,,,,,,,,,,,", S. 222",
"Stephan, Heiliger",,ca. 40,katholisch,,,,,,,,,,,,,", S. 311",Sandrart.net:
"Stephan I., Herzog (Bayern)",1271,1310,katholisch,,,,,,,,,,,,,", S. 753",Gemeinsame Normdatei (GND):
"Stephan II., Herzog (Bayern)",zwischen 1313 und 1319,1375,katholisch,,,,,,,,,,,,,", S. 753",Gemeinsame Normdatei (GND):
"Stephan III., Herzog (Bayern-Ingolstadt)",zwischen 1337 und 1338,1413,katholisch,,,,,,,,,,,,,", S. 753",Gemeinsame Normdatei (GND):
"Stephan von Seiboldsdorf, Fürstbischof (Freising)",ca. 1580,1618,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Philipp von Stetten zu Kocherstetten,,1619,protestantisch,,,,,,,,,,,,,",",
Pieter Stevart,1549,1624,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph von Stingelheim,1570,1626,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Johann Nikolaus von Stockheim,1582,1633,protestantisch,,,,,,,,,,,,,", S. 18",Gemeinsame Normdatei (GND):
Ludwig Georg zu Stolberg-Ortenberg,1562,1618,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph zu Stolberg-Wernigerode,1567,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Heinrich XI. von Stolberg-Wernigerode,1551,1615,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Wolfgang Georg von Stolberg-Wernigerode,1582,1631,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Peter Storck,1554,1627,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jan van der Straet,1523,1605,keine Angabe,,,,,,,,,,,,,", Bd. 17., S. 444",Sandrart.net:
Paul Strauß,,,katholisch,,,,,,,,,,,,,,
Victorinus Streitberger,1562,1626,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Barbara Strölin,ca. 1365,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Wilhelm Stürzel,,1644,keine Angabe,,,,,,,,,,,,,", S. 47, 60, 65",
William Stydolphe of Headley,,1659,keine Angabe,,,,,,,,,,,,,", hier S. 480",
"Styx, Göttin",,,keine Angabe,,,,,,,,,,,,,", Bd. 4, Sp. 1566-1579",Gemeinsame Normdatei (GND):
"Suebus, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,,
Gaius Suetonius Tranquillus,ca. 70,ca. 150,andere,,,,,,,,,,,,,,Sandrart.net:
"Sulaiman I., Sultan (Osmanisches Reich)",zwischen 1494 und 1496,1566,andere,,,,,,,,,,,,,,Sandrart.net:
Karl Ludwig von Sulz,1560,1616,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Rudolf von Sulz,1559,1620,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Elisabeth Sulzer,,,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Susanna, biblische Person, Heilige",,,andere,,,,,,,,,,,,,,Sandrart.net:
Friedrich Sustris,ca. 1540,1599,katholisch,,,,,,,,,,,,,", S. 768",Sandrart.net:
Anne Sutton,1589,1615,protestantisch,,,,,,,,,,,,,", S. 111–114",Gemeinsame Normdatei (GND):
"Swigger, Graf (Hirschberg)",,,katholisch,,,,,,,,,,,,,", S. 536",
"Tabora, Heilige",,425,katholisch,,,,,,,,,,,,,,
Johann Friedrich Tafinger,ca. 1550,ca. 1637,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Tagus, Gott",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Tamesis, Gott",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Gundaker von Tannberg,,1625,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Tassilo I., Herzog (Bayern)",,ca. 610,katholisch,,,,,,,,,,,,,", S. 771",Gemeinsame Normdatei (GND):
