Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Scheurl (Familie);;;;;;;;;
Scheurlin;;;keine Angabe;Künstler: Malerei;;;;;erwähnt 1611
Berchtold von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
Haziga von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
Heinrich von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
Iustitia von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
Petrissa von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
Tuta von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;11. Jahrhundert
Werner von Scheyern;;;katholisch;Angehörige der Aristokratie;;;;;
David Schicker;1550;1615;keine Angabe;Künstler: Angewandte Kunst;;;;;
Schierlin;;;keine Angabe;Angehörige des Militärs;;;;;um 1613
Jonas Schiessel;;1644;katholisch;Hofleute, höfische Administration;;;;;erstmals erwähnt 1606
Hans Schifferstein;;1631;keine Angabe;Künstler: Angewandte Kunst;;;;;ab 1606
Daniel Schilling von Günzburg;1572;1625;katholisch;Hofleute, höfische Administration;;;;;
Regina Schiller von Herdern;;1619;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Heinrich Schilling von Canstatt;;1635;protestantisch;Hofleute, höfische Administration;;;;;
Kaspar Schilling von Canstatt;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1604–1616
Berthold Schilling von Canstatt;1584;1637;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Christoph Schissler;1530;1608;protestantisch;Künstler: Angewandte Kunst;;;;;
Hans Schleeweiß;;;keine Angabe;Bedienstete;;;;;1610–1621 nachgewiesen
Johann Balthasar Schlegel;;;katholisch;Hofleute, höfische Administration;;;;;nachweisbar zwischen 1618 und 1636
Franz Schleicher;;;keine Angabe;Sonstige;;;;;
Franz Schleicher;;;christlich allgemein;Sonstige;;;;;
Hieronymus Schleicher;1568;1631;protestantisch;Städtische Administration;Ulmer Gesandte beim Reichstag in Regensburg 1613;;;;
Sigmund Schleicher;1560;1631;protestantisch;Städtische Administration;"Ulmer Gesandte beim Reichstag in Regensburg 1613; Rat der Stadt Ulm";;;;
Elisabeth von Schleswig-Holstein-Sonderburg;1580;1653;protestantisch;Angehörige der Aristokratie;;;;;
Maria von Schleswig-Holstein;1575;1640;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Anna von Schleswig-Holstein-Sonderburg;1577;1616;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sophie von Schleswig-Holstein-Gottorf;1569;1634;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Adam von Schlieben;1552;1628;protestantisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften; Hofleute, höfische Administration";;;;;
Johann Ernst von Schlieben;1586;1620;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Friedrich Schlöer;1569;1637;protestantisch;Hofleute, höfische Administration;;;;;
Martinus Schmauser;;1627;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;zwischen 1595 und 1627
Brigitta Schmid;;;keine Angabe;Bedienstete;;;;;um 1620/1621
Ludwig Schmidt;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1616
Stefan Schmidt von Freihofen;1556;1631;keine Angabe;Hofleute, höfische Administration;;;;;
Antonius Schmittmer;;;keine Angabe;Sonstige;;;;;1612 nachgewiesen
Johann Schneidt;;;keine Angabe;Hofleute, höfische Administration;;;;;1613
Peter Schneidt;1561;1616;katholisch;Hofleute, höfische Administration;;;;;
Caspar von Schnetter;;1644;katholisch;Angehörige des Militärs;;;;;
Gebhard Schöllhammer;;1634;katholisch;Hofleute, höfische Administration;;;;;
Georg Schön;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;nachweisbar 1611–1627
Hans Meinhard von Schönberg;1582;1616;protestantisch;"Hofleute, höfische Administration; Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Heinrich Dietrich von Schönberg;1597;1621;protestantisch;Angehörige der Aristokratie;;;;;
Johann Schönbrunner;1544;;keine Angabe;Künstler: Angewandte Kunst;;Stammbuch Philipps II. von Pommern-Stettin;;;
Otto Wilhelm von Schönburg-Glauchau;1587;1617;protestantisch;Angehörige der Aristokratie;;;;;
Hugo II. von Schönburg-Glauchau-Waldenburg;1559;1606;protestantisch;Angehörige der Aristokratie;;;;;
"von Schönburg-Glauchau-Waldenburg, Hugo II., 1613 lebende
               Söhne";;;;;;;;;
Veit III. von Schönburg-Lichtenstein;1563;1622;protestantisch;Angehörige der Aristokratie;;;;;
Wolf Ernst von Schönburg-Remissau;1582;1623;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Hugo III. von Schönburg-Waldenburg;1581;1641;protestantisch;Angehörige der Aristokratie;;;;;
"von Schönburg, Wolf Ernst und Otto Wilhelm, jüngere Brüder im Jahr
               1613";;;protestantisch;;;;;;
Johann von Schönstein;1586;1634;protestantisch;Hofleute, höfische Administration;;;;;
Veit Adam von Schönstein;;1631;katholisch;Angehörige der Aristokratie;;;;;
Johann Konrad Schott;1556;1623;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Konrad Schott;1561;1638;protestantisch;Künstler: Angewandte Kunst;;"Orgel der Stadtpfarrkirche Freudenstadt; Orgel des Ulmer Münsters; Orgel in Bad Mergentheim; Orgel in der Stuttgarter Kunstkammer";;;
Magdalena Schraier;;;christlich allgemein;Sonstige;;;;;
Ulrich Schraier;;;christlich allgemein;Sonstige;;;;;
David Schramm;1559;1615;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Erhart Schreiber;;;keine Angabe;Städtische Administration;;;;;1636
Christoph Schrenck von Notzing und Egmating;1548;1625;katholisch;"Angehörige der Aristokratie; Städtische Administration";Magistrat der Stadt München;;;;
Friedrich Schrenck von Notzing;1555;1618;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Schröder;1572;1621;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Matthias Schropp;;;katholisch;Hofleute, höfische Administration;;;;;1564 nachgewiesen
Andreas Schrot;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1538 nachgewiesen
Johannes Schube;;1634;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;Beschreibung der Glasmalereien im Kreuzgang von Kloster Hirsau;;;
Jutta Schütz;;;katholisch;Sonstige;;;;;
Martin Schütz;;;keine Angabe;Sonstige;;;;;um 1617
Lukas Schultes;;1634;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Johann Konrad Schutzbar;;;katholisch;Hofleute, höfische Administration;Deutscher Orden;;;;zwischen 1606 und 1613
Kunigunde von Schwaben;;;katholisch;Angehörige der Aristokratie;;;;;9. Jahrhundert
Bartholomäus Schwarzlos;1556;1618;protestantisch;Hofleute, höfische Administration;;;;;
Matthäus Schwarz d. Ä.;;;protestantisch;Städtische Administration;;;;;um 1613
Oswald von Schwave;;;keine Angabe;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;zwischen 1611 und 1617 nachweisbar
Johannes Schwegler;;;protestantisch;"Künstler: Skulptur; Künstler: Angewandte Kunst";;"Landwirtschaftliche und Tier-Dioramen Philipp Hainhofers; Objekte aus Vogelfedern; Pommerscher Kunstschrank; Pommerscher Meierhof; Silberreliefs für den Hochaltar des Eichstätter Doms; Stammbücher Philipp Hainhofers";;;ca. 1589–1622
Thomas Schweicker;1541;1602;protestantisch;"Künstler: Malerei; Sonstige";;;;;
Benedikt Schweindl;;;katholisch;Bedienstete;;;;;zwischen 1594 und 1631
Marquard von Schwendi;1574;1634;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Daniel Schwenter;1585;1636;keine Angabe;Gelehrte und Schriftsteller;;;;;
Heinrich Schwerin;;;protestantisch;Hofleute, höfische Administration;;;;;um 1617
Heinrich Schwichelt;1577;1653;keine Angabe;"Städtische Administration; Hofleute, höfische Administration";Pommersche Gesandte beim Reichstag in Regensburg 1613;Stammbücher Philipp Hainhofers;;;
Abraham Scultetus;1566;1624;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
N. (?) von Seckendorff;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1612
Valentin Bernhard von Seckendorff;1591;1659;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Anna Segesser von Brunegg;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1610 und 1630
Martin Segmel;1585;1645;katholisch;Hofleute, höfische Administration;;;;;
Mathias Seidel;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;ca. 1595
Konrad Wilhelm von Selbach;;;protestantisch;Angehörige der Aristokratie;;;;;um 1616
Valentin von Selbitz;1558;1630;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Hans Wilhelm von Selmling;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1617
Johann Dietrich Semler;1587;1629;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Lucius Annaeus Seneca;;;andere;Gelehrte und Schriftsteller;;;;;
Burkhard Theodor Senfft von Sulburg;;1635;katholisch;Angehörige der Aristokratie;;;;;
Johann Andreas Senger;;1622;protestantisch;"Hofleute, höfische Administration; Gelehrte und Schriftsteller";;;;;1603–1622 nachgewiesen
Sicamber, literarische Gestalt;;;;Sonstige;;;;;
Die sieben Tugenden;;;;;;;;;
Casparus Siemer;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;Ebersberger Mönche;;;;
Heinrich Hartmann Sigelmann von Neuenburg;;;keine Angabe;Hofleute, höfische Administration;;;;;1622–1629
Melchior Sigelmann von Delsberg;;1617;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Sigismund III. Wasa, König (Polen);1566;1632;katholisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sigismund August, Herzog (Mecklenburg);1560;1600;keine Angabe;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Johann Nicolaus Sigmar von Schlüsselberg;;;keine Angabe;Angehörige der Aristokratie;;;;;
Marcus Iunius Silanus;;;andere;"Angehörige des Militärs; Städtische Administration";;;;;zwischen 212 und 206 v. Chr.
Simon VI., Graf (Lippe);1554;1613;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Reichshofrat (Heiliges Römisches Reich);;;;
Simon VII., Graf (Lippe);1587;1627;protestantisch;Angehörige der Aristokratie;;;;;
Sirenen, mythologische Personen;;;;;;;;;
Eleazar Sitzinger;;;protestantisch;Hofleute, höfische Administration;;;;;1604–1629 nachgewiesen
Albrecht Jan Smiřický von Smiřice;1594;1618;protestantisch;Angehörige der Aristokratie;;;;;
Johann Smisek;1585;1650;katholisch;Künstler: Graphik;;Ansicht des Münchner Jesuitenkollegs;;;
Franz Soll;;1625;katholisch;Hofleute, höfische Administration;;;;;
Kaspar Solling;;;keine Angabe;Städtische Administration;;;;;zwischen 1589 und 1621
Philipp zu Solms-Braunfels;1573;1630;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Reinhard zu Solms-Braunfels;1573;1630;keine Angabe;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Wilhelm I. zu Solms-Greifenstein;1570;1635;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";Wetterauisches Reichsgrafenkollegium;;;;
Hermann Adolf zu Solms-Hohensolms;1601;1626;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Johann Ernst zu Solms-Hohensolms;1591;1617;protestantisch;Angehörige der Aristokratie;;;;;
Philipp Reinhard I. zu Solms-Hohensolms;1593;1635;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Agathe zu Solms-Laubach;1585;1648;protestantisch;Angehörige der Aristokratie;;;;;
Albrecht Otto II. zu Solms-Laubach;1610;1639;keine Angabe;Angehörige der Aristokratie;;;;;
Sophie zu Solms-Laubach;1594;1651;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich Wilhelm zu Solms-Sonnewalde;1583;1632;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";Wetterauisches Reichsgrafenkollegium;;;;
Anna-Maria von Solms;1593;1649;protestantisch;Angehörige der Aristokratie;;;;;
Johann Georg II. zu Solms-Baruth;1591;1632;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";Wetterauisches Reichsgrafenkollegium;;;;
Elisabeth zu Solms-Braunfels;1593;1637;protestantisch;Angehörige der Aristokratie;;;;;
Ursula zu Solms-Braunfels;1594;1657;protestantisch;Angehörige der Aristokratie;;;;;
Graf von Solms;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1612
Konrad Ludwig zu Solms-Braunfels;1595;1635;protestantisch;Angehörige der Aristokratie;;;;;
Friedrich zu Solms-Rödelheim;1574;1635;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";"Orden der grünen Binde; Wetterauisches Reichsgrafenkollegium";;;;
Sophrodrot, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Isabella Clara Eugenia von Spanien;1566;1633;katholisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Katharina von Spaur;1580;1650;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Gotthard Spengler;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1616–1625 nachgewiesen
von Sperberseck (Familie);;;;;;;;;
Johann Ludwig von Sperberseck;1551;1613;protestantisch;Hofleute, höfische Administration;von Sperberseck (Familie);;;;
Susanna Spet;;;christlich allgemein;Sonstige;;;;;
Johann Philipp Speth von Zwiefalten;;;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1615–1619 nachgewiesen
Otto Spiegel zu Badrina;;;protestantisch;Hofleute, höfische Administration;;;;;1602–1616 nachgewiesen
Spieglander, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Hans Jakob Spiegler;;1658;protestantisch;Künstler: Malerei;;"Orgel der Stadtpfarrkirche Freudenstadt; Porträt Konrad Schotts";;;
Ambrogio Spinola;1569;1630;katholisch;"Angehörige des Militärs; Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Splendenzer, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Philipp Springer;;;katholisch;"Bedienstete; Hofleute, höfische Administration";;;;;1490
Philipp Sprinz;;;"protestantisch; katholisch";Angehörige des Militärs;;;;;1609–1650
Johann von Sprinzenstein;1549;1604;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Burckhard Stadtmann;1570;1638;keine Angabe;Hofleute, höfische Administration;;;;;
Andreas Stahl;;;keine Angabe;Künstler: Angewandte Kunst;;Uhren und Uhrwerke in der Sammlung Augusts d. J.;;;
Stahn;;;keine Angabe;Hofleute, höfische Administration;;;;;1615 nachgewiesen
Georg Staiger;;;christlich allgemein;Sonstige;;;;;
Georg Staiger;;;christlich allgemein;Sonstige;;;;;
David vom Stain;;1656;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Eitel Heinrich vom Stain;;1624;keine Angabe;Hofleute, höfische Administration;;;;;
Johann Jakob von Stainach;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1608–1617 nachgewiesen
Ursula Stainbrech;;;christlich allgemein;Sonstige;;;;;
Johann Stainger;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1390 und 1400
Theodosius Stann;;1630;keine Angabe;Hofleute, höfische Administration;;;;;
Jakob Stark von und zu Röckenhof;1550;1617;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Hans Starnberger;;;katholisch;Hofleute, höfische Administration;;;;;
Heinrich von Starschedel;;;protestantisch;Hofleute, höfische Administration;;;;;1616–1627
Otto von Starschedel;;1623;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Jonas Staude;;;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Johann Staudt;1567;1634;protestantisch;"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";;;;;
Hans Stebenhaber;;;christlich allgemein;Sonstige;;;;;
Magdalena Stebenhaber;1540;1602;christlich allgemein;Sonstige;;;;;
Paulus Stebenhaber;;;christlich allgemein;Sonstige;;;;;
Margret Steidl;;;christlich allgemein;Sonstige;;;;;
Margret Steidl;;;keine Angabe;Sonstige;;;;;
Pauls Steidl;;;christlich allgemein;Sonstige;;;;;
Braun vom Stein;;;keine Angabe;"Sonstige; Angehörige der Aristokratie";;;;;um 1616
Philipp vom Stein;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Albrecht von Steinau-Steinrück;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;zwischen 1582 und 1616 nachgewiesen
Karl von Stentzsch;;;protestantisch;Angehörige der Aristokratie;;;;;um 1615/1616
Stephan von Seiboldsdorf, Fürstbischof (Freising);1580;1618;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Jakob Christoph von Sternenfels;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Veit von Sternenfels;;1618;keine Angabe;Angehörige der Aristokratie;;;;;1595–1618
Johann Philipp von Stetten zu Kocherstetten;;1619;protestantisch;Hofleute, höfische Administration;;;;;
Pieter Stevart;1549;1624;katholisch;"Gelehrte und Schriftsteller; Angehörige von Klerus und Ordensgemeinschaften";Universität Ingolstadt;;;;
Christoph von Stingelheim;1570;1626;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Johann Heinrich von Stockheim;;1647;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Johann Nikolaus von Stockheim;1582;1633;protestantisch;Hofleute, höfische Administration;;;;;
Ludwig Georg zu Stolberg-Ortenberg;1562;1618;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Christoph zu Stolberg-Wernigerode;1567;1638;protestantisch;Angehörige der Aristokratie;Wetterauisches Reichsgrafenkollegium;;;;
Heinrich XI. von Stolberg-Wernigerode;1551;1615;protestantisch;Angehörige der Aristokratie;;;;;
Wolfgang Georg von Stolberg-Wernigerode;1582;1631;protestantisch;Angehörige der Aristokratie;;;;;
Peter Storck;1554;1627;protestantisch;Städtische Administration;;;;;
Kaspar von Stoyentin;;1617;protestantisch;Angehörige des Militärs;;;;;
Jan van der Straet;1523;1605;keine Angabe;Künstler: Malerei;;"Der Tod besucht die Armen; Der Tod erscheint bei den Reichen";;;
Lorenz Strauch;1554;1630;;"Künstler: Malerei; Künstler: Graphik";;;;;
Paul Strauß;;;katholisch;Hofleute, höfische Administration;;;;;zwischen 1613 und 1621
Victorinus Streitberger;1562;1626;keine Angabe;Hofleute, höfische Administration;;;;;
Heinrich Stürmer;;;keine Angabe;Sonstige;;Stammbücher Philipp Hainhofers;;;um 1617 nachweisbar
Georg Wilhelm Stürzel;;1644;keine Angabe;Angehörige des Militärs;;;;;
William Stydolphe of Headley;;1659;keine Angabe;Hofleute, höfische Administration;;;;;
Suatobor, Herzog (Pomoranen);;;keine Angabe;Angehörige der Aristokratie;;;;;zwischen 1100 und 1150
Suatobor, Herzog (Pomoranen) Vorfahren;;;;;;;;;
Suebus, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Suffenus;;;;;;;;;1. Jh. v. Chr.
Karl Ludwig von Sulz;1560;1616;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";Schwäbisches Reichsgrafenkollegium;;;;
Rudolf von Sulz;1559;1620;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Schwäbisches Reichsgrafenkollegium;;;;
Elisabeth Sulzer;;;christlich allgemein;Sonstige;;;;;
Anne Sutton;1589;1615;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Frauenzimmer der Elisabeth von England;;;;
Swigger, Graf (Hirschberg);;;katholisch;Angehörige der Aristokratie;;;;;um 745
Johann Friedrich Tafinger;1550;1637;protestantisch;Städtische Administration;;;;;
Tajuvaddei, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Gundaker von Tannberg;;1625;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";Herzoglicher/Kurfürstlicher Rat (Bayern);;;;
Friedrich Taubmann;1565;1613;keine Angabe;Gelehrte und Schriftsteller;;;;;
Johann Friedrich von Tegernau;1565;1634;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Tertullian;;;christlich allgemein;Gelehrte und Schriftsteller;;;;;
Hans Leonhard Tetzel;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1612/1615
Hieronymus Tetzel;1563;;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Hans Teufel;;;christlich allgemein;Sonstige;;;;;
Hans Teufel;;;christlich allgemein;Sonstige;;;;;
Ursula Teufel;;;christlich allgemein;Sonstige;;;;;
Heinrich Teuffel von Birkensee;1575;1629;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Wolfgang Sigismund Teuffel von Birkensee;;;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;um 1616
Thaler (Familie);;;;;;;;;
Abraham von Thammer;;;keine Angabe;Sonstige;;;;;um 1615/1616
Georg Christoph von der Thann;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1616
Adolf Werner von Themar;;;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;1613–1623 nachgewiesen
Wolf Thenn;1563;1633;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Theodo III., Herzog (Bayern);;;"andere; katholisch";Angehörige der Aristokratie;;;;;ca. 550
Theodovalda, Herzog (Bayern);;;"andere; katholisch";Angehörige der Aristokratie;;;;;
Theologische Tugenden;;;;;;;;;
Aelius Theon;;;andere;Gelehrte und Schriftsteller;;;;;1. Jh. vor Chr.
Agnes Thomas;;;protestantisch;Sonstige;;;;;1575–1621 nachgewiesen
Conrad Friedrich von Thüngen;1580;1629;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Georg Friedrich von Thüngen;;1625;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Neidhard von Thüngen;;1634;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Christoph Thumb von Neuburg;;1626;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
Theodor Thumm;1586;1630;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Alexander von Thurn;;;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;zwischen 1613 und 1615
Timanthes;;;andere;Künstler: Malerei;;;;;2. Hälfte des 5. Jahrhunderts v. Chr.
Simon Toelmann;1563;1630;protestantisch;Gelehrte und Schriftsteller;;Stammbücher Philipp Hainhofers;;;
Joachim von Trauschwitz;1561;1626;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Brigitta Benigna von Trautson;;1637;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";Frauenzimmer der Kaiserin Anna;;;;
Susanna Isabella von Trautson;;1646;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Maximilian von Trauttmansdorff;1584;1650;"protestantisch; katholisch";"Hofleute, höfische Administration; Angehörige der Aristokratie; Angehörige des Militärs";"Orden vom Goldenen Vlies; Reichshofrat (Heiliges Römisches Reich)";;;;
Leonhard Treutwein;;1622;katholisch;Hofleute, höfische Administration;;;;;
Luca Trono (Tron);1552;1625;katholisch;"Künstler: Angewandte Kunst; Kaufleute, Gewerbetreibende, Dienstleister; Gelehrte und Schriftsteller";;Schälchen aus Aventuringlas;;;
Hans Troschel;1585;1628;protestantisch;"Künstler: Graphik; Künstler: Angewandte Kunst";;Porträt des Jan Žižka von Trocnov;;;
Eitel Hans Truchseß von Höfingen;;;keine Angabe;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;1616–1637 nachgewiesen
Heinrich Truchseß von Höfingen;;1631;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Truchseß von Rheinfelden (Adelsfamilie);;;;;;;;;
Hans Christoph Truchseß von Rheinfelden;;;keine Angabe;Angehörige der Aristokratie;Truchseß von Rheinfelden (Adelsfamilie);;;;um 1616
Joseph Truchsess von Rheinfelden;;;keine Angabe;Angehörige der Aristokratie;Truchseß von Rheinfelden (Adelsfamilie);;;;um 1616
Philipp Jakob Tucher von Simmelsdorf;1567;1632;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Gabriel Tüntzel von Tunzenhausen;1576;1646;protestantisch;Hofleute, höfische Administration;;;;;
Friedrich Konrad Tuschelin;;1634;protestantisch;Hofleute, höfische Administration;;;;;
Philipp Uffenbach;1566;1636;protestantisch;Künstler: Malerei;;Stammbücher Philipp Hainhofers;;;
Eva von Uhrhausen;;1616;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Wolf von Uhrmühl;1559;1632;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Christoph Hannibal von Ulm-Marbach;;;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;zwischen 1605 und 1620
Johann Ludwig von Ulm;1567;1627;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Ulrich, Herzog (Mecklenburg);1527;1603;"katholisch; protestantisch";Angehörige der Aristokratie;;;;;
Ulrich, Graf (Württemberg);;;katholisch;Angehörige der Aristokratie;;;;;nach 1340 bis 1388
Ulrich III., Herzog (Mecklenburg);1527;1603;protestantisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;
Ulrich, Herzog (Schleswig-Holstein);1578;1624;keine Angabe;Angehörige der Aristokratie;;;;;um 1612-1617
David Ulstett;1552;1632;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Hans Ulstett;1570;1635;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Hans Ulstett, Kinder;;;;;;;;;
Tobias Unfrid;;1633;katholisch;Hofleute, höfische Administration;;;;;1611 bis 1633
Eustachius Unterholzer;;1616;protestantisch;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Frederik van Valckenborch;1565;1623;protestantisch;Künstler: Malerei;;"Nürnberg, Ehrenpforte für Kaiser Matthias; Stammbücher Philipp Hainhofers";;;
Maarten van Valckenborch;1534;1612;protestantisch;Künstler: Malerei;;;;;
Peter Vanselow;1569;1646;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Friedrich Hilderich von Varel;1566;1616;keine Angabe;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;
